source_lang,target_lang,domain,difficulty,source_text,target_text,plain_meaning_en,plain_meaning_tr,example_en,example_tr,tags
en,tr,court,2,Appearance notice,mahkemeye çağrı belgesi,Document requiring the person to attend court.,Kişiyi belirli tarihte mahkemeye çağıran belge.,He received an appearance notice.,Kendisine mahkemeye çağrı belgesi verildi.,document
en,tr,court,2,Application (motion),başvuru/dilekçe (motion),Request asking the court to decide an issue.,Mahkemeden bir konuda karar istenmesi.,The defence brought an application.,Savunma başvuruda bulundu.,procedure
en,tr,court,3,Arraignment,suç isnadının sanığa okunması,Charges are read and the accused enters a plea.,Suçlamalar okunur; sanığın beyanı (plea) alınır.,The clerk proceeded with arraignment.,Zabıt kâtibi suç isnadının okunması işlemini yaptı.,trial
en,tr,court,2,Arrest warrant,yakalama emri,Order authorizing police to arrest someone.,Polisin kişiyi yakalamasına yetki veren emir.,A warrant was issued for his arrest.,Yakalanması için emir çıkarıldı.,warrant
en,tr,court,2,Bail hearing,tutuksuz yargılama talebi duruşması,Hearing to decide release or detention before trial.,Yargılama öncesi tahliye mi tutukluluk mu kararı.,A bail hearing is scheduled today.,Bugün tutuksuz yargılama talebi duruşması var.,bail
en,tr,court,2,Bail (release order),kefaletle serbest bırakma (salıverme emri),Court order releasing accused with conditions.,Koşullarla salıverme kararı.,He is out on bail with conditions.,Koşullarla kefaletle serbest.,bail
en,tr,court,2,Bench warrant,mahkemece çıkarılan yakalama emri (bench warrant),Warrant issued for failing to appear or comply.,Mahkemeye gelmeme vb. nedenle çıkarılan emir.,A bench warrant was issued.,Bench warrant çıkarıldı.,warrant
en,tr,court,3,Beyond a reasonable doubt,makul şüphenin ötesinde,High standard required to convict in criminal law.,Mahkûmiyet için gereken yüksek ispat standardı.,The Crown must prove it beyond a reasonable doubt.,Savcılık makul şüphenin ötesinde ispatlamalıdır.,standard
en,tr,court,2,Burden of proof,ispat yükü,Who must prove the case/issue.,Kimin neyi ispatlamak zorunda olduğu.,The burden of proof is on the Crown.,İspat yükü savcılıktadır.,standard
en,tr,court,2,Case law,içtihat / emsal kararlar,Previous court decisions used as authority.,Önceki mahkeme kararları (emsal).,Counsel relied on case law.,Avukat emsal kararlara dayandı.,law
en,tr,court,1,Charge,suçlama (itham),Specific offence alleged.,İsnat edilen suç.,He faces a charge of assault.,Saldırı suçlamasıyla karşı karşıya.,offence
en,tr,court,2,Closing arguments,kapanış beyanları / son savunmalar,Final submissions summarizing the case.,Davanın sonunda yapılan son beyanlar.,We will hear closing arguments.,Kapanış beyanlarını dinleyeceğiz.,trial
en,tr,court,3,Committal,yargılanmak üzere sevk,Order that the accused will stand trial (where applicable).,Dosyanın yargılamaya devamına/sevkine karar.,The judge ordered committal to trial.,Hakim yargılamaya sevke karar verdi.,procedure
en,tr,court,1,Complainant,şikâyetçi / mağdur,Person alleged to be harmed by the offence.,Suçtan zarar gördüğü iddia edilen kişi.,The complainant testified today.,Şikâyetçi bugün ifade verdi.,party
en,tr,court,2,Conditional discharge,koşullu salıverme (conditional discharge),Guilty finding with conditions; not a conviction.,"Suç sabit; koşullarla, mahkûmiyet kaydı olmadan.",He received a conditional discharge.,Koşullu salıverme aldı.,sentence
en,tr,court,1,Court order,mahkeme emri/kararı,Legally binding direction of the court.,Mahkemenin bağlayıcı emri.,You must follow the court order.,Mahkeme emrine uymalısınız.,order
en,tr,court,1,Court reporter,mahkeme stenografı / kayıt görevlisi,Creates the official record of proceedings.,Duruşma kaydını/resmî kaydı tutan görevli.,The court reporter noted the time.,Mahkeme kayıt görevlisi saati kaydetti.,courtroom
en,tr,court,1,Criminal record,adli sicil kaydı,Record of convictions/history.,Kişinin adli sicil geçmişi.,He has no criminal record.,Adli sicil kaydı yok.,record
en,tr,court,2,Cross-examine,çapraz sorguya çekmek,Question the other party’s witness to test evidence.,Karşı taraf tanığını sorgulayarak beyanı sınamak.,Counsel will cross-examine the witness.,Avukat tanığı çapraz sorgulayacak.,trial
en,tr,court,2,Crown counsel,savcı (Crown),Lawyer prosecuting on behalf of the state.,Devlet adına davayı yürüten savcı.,Crown counsel is present.,Savcı hazır.,party
en,tr,court,2,Defence counsel,savunma avukatı,Lawyer representing the accused.,Sanığı temsil eden avukat.,Defence counsel objected.,Savunma avukatı itiraz etti.,party
en,tr,court,2,Detention order,tutukluluk kararı,Order keeping accused in custody pending trial.,Yargılama öncesi tutuklu kalma kararı.,A detention order was made.,Tutukluluk kararı verildi.,bail
en,tr,court,2,Direct examination (examination-in-chief),doğrudan sorgu (asli sorgu),Questioning of your own witness (non-leading).,Kendi tanığını yönlendirici olmayan sorularla sorgulama.,Crown began direct examination.,Savcılık doğrudan sorguya başladı.,trial
en,tr,court,2,Disclosure,delil/paylaşım dosyası (disclosure),Crown’s evidence/material provided to defence.,Savcılığın savunmaya verdiği delil ve belgeler.,We need time to review disclosure.,Disclosure’ı incelemek için süre istiyoruz.,evidence
en,tr,court,2,Duty counsel,nöbetçi avukat,Legal Aid lawyer providing brief help in court.,Mahkemede kısa destek veren adli yardım avukatı.,Duty counsel can assist you today.,Nöbetçi avukat bugün yardımcı olabilir.,legal-aid
en,tr,court,3,Election,seçim (yargılama türü seçimi),Choice about mode of trial in certain cases.,Bazı dosyalarda yargılama türünü seçme hakkı.,He made his election.,Seçimini yaptı.,procedure
en,tr,court,3,Essential elements of an offence,suçun asli unsurları,Parts the Crown must prove to convict.,Mahkûmiyet için ispatlanması gereken unsurlar.,All essential elements must be proven.,Tüm asli unsurlar ispatlanmalıdır.,elements
en,tr,court,1,Evidence,delil,Information presented in court.,Mahkemede sunulan bilgi/belge/ifade.,The evidence will be filed.,Deliller sunulacak.,evidence
en,tr,court,1,Exhibit,delil olarak kabul edilen belge/nesne (exhibit),Item admitted and numbered as evidence.,Delil olarak kabul edilip numaralanan belge/nesne.,This is marked as Exhibit 1.,"Bu, Delil 1 olarak işaretlendi.",evidence
en,tr,court,3,Expert witness,uzman tanık,Qualified witness giving technical opinions.,Teknik/uzmanlık görüşü sunan tanık.,The expert witness testified.,Uzman tanık ifade verdi.,witness
en,tr,court,2,Peace bond,huzur teminatı kararı,Order requiring keep the peace and other conditions.,Kişinin huzuru koruma ve koşullara uyma yükümlülüğü.,A peace bond was issued.,Huzur teminatı kararı verildi.,order
en,tr,court,2,Remand,tutuklu yargılama süreci / inceleme süreci,Kept in custody pending next court date; case is remanded.,Bir sonraki duruşmaya kadar tutuklu kalma / dosyanın ertelenmesi.,He was remanded into custody.,Tutuklu yargılanmak üzere gözaltına/tutukluluğa iade edildi.,custody
en,tr,court,2,Undertaking (to a police officer),taahhüt belgesi,Police document requiring appearance and conditions.,Polisçe verilen; mahkemeye gelme ve koşullere uyma belgesi.,He signed an undertaking.,Taahhüt belgesini imzaladı.,release
en,tr,court,2,Probation,denetimli serbestlik,Sentence condition supervising offender in community.,Ceza kapsamında toplum içinde denetim/koşullar.,He is on probation for 12 months.,12 ay denetimli serbestlikte.,sentence
